Component ;Price;Link
ESP32;~5USD;https://de.aliexpress.com/item/1005008889768599.html?spm=a2g0o.productlist.main.4.37d432efWmt8ey&aem_p4p_detail=202604010949411141532102808680004602880&algo_pvid=c0b16687-eb1d-4447-a4b9-be2f1f8fce06&algo_exp_id=c0b16687-eb1d-4447-a4b9-be2f1f8fce06-3&pdp_ext_f=%7B%22order%22%3A%228442%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis!EUR!2.48!0.99!!!19.25!7.66!%40211b6c1917750621809857413eab86!12000047095028658!sea!DE!0!ABX!1!0!n_tag%3A-29910%3Bd%3Ae0188e57%3Bm03_new_user%3A-29895%3BpisId%3A5000000197700208&curPageLogUid=ab0puvtSoNPo&utparam-url=scene%3Asearch
OLED display 0.96 inch;~4USD;https://de.aliexpress.com/item/1005010528457670.html?spm=a2g0o.productlist.main.36.109a4953EF29OL&algo_pvid=55d9bae1-c626-4897-8aa5-5d54475c2464&algo_exp_id=55d9bae1-c626-4897-8aa5-5d54475c2464-33&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis!EUR!7.65!3.59!!!59.50!27.96!%40211b6a7a17750623147704885edd34!12000052707956650!sea!DE!0!ABX!1!0!n_tag%3A-29910%3Bd%3Ae0188e57%3Bm03_new_user%3A-29895&curPageLogUid=0NjDjhU3IAvh&utparam-url=scene%3Asearch
